datetime,nav,price
2013-12-25,1.064,
2013-12-26,1.044,
2013-12-27,1.061,1.05
2013-12-30,1.063,
2013-12-31,1.067,
2014-01-02,1.071,
2014-01-03,1.063,
2014-01-06,1.033,
2014-01-08,1.04,
2014-01-09,1.03,1
2014-01-10,1.015,
2014-01-13,1.009,
2014-01-14,1.028,
2014-01-15,1.034,
2014-01-16,1.035,
2014-01-17,1.025,
2014-01-20,1.018,
2014-01-21,1.033,1.1
2014-01-22,1.056,1.11
2014-01-23,1.063,
2014-01-24,1.077,
2014-01-27,1.075,1.08
2014-01-28,1.075,1.07
2014-01-29,1.085,1.08
2014-01-30,1.08,1.11
2014-02-07,1.098,1.11
2014-02-10,1.127,1.11
2014-02-11,1.125,1.12
2014-02-12,1.135,1.12
2014-02-13,1.118,1.14
2014-02-14,1.139,1.15
2014-02-17,1.161,1.14
2014-02-18,1.156,
2014-02-19,1.16,
2014-02-20,1.146,
2014-02-21,1.136,
2014-02-24,1.127,
2014-02-25,1.09,1.255
2014-02-26,1.091,
2014-02-27,1.076,1.38
2014-02-28,1.086,
2014-03-03,1.106,1.24
2014-03-04,1.107,1.24
2014-03-05,1.101,
2014-03-06,1.105,1.16
2014-03-07,1.099,1.09
2014-03-10,1.062,1.18
2014-03-11,1.063,1.09
2014-03-12,1.066,1.05
2014-03-13,1.078,1.07
2014-03-14,1.077,1.09
2014-03-17,1.099,
2014-03-18,1.102,1.2
2014-03-19,1.1,1.2
2014-03-20,1.074,1.28
2014-03-21,1.098,
2014-03-24,1.106,1.15
2014-03-25,1.108,1.11
2014-03-26,1.111,
2014-03-27,1.098,1.08
2014-03-28,1.078,
2014-03-31,1.075,1.18
2014-04-01,1.092,1.17
2014-04-02,1.094,1.1
2014-04-03,1.091,1.09
2014-04-04,1.104,1.19
2014-04-08,1.118,1.19
2014-04-09,1.128,1.3
2014-04-10,1.132,1.2
2014-04-11,1.127,1.28
2014-04-14,1.135,1.15
2014-04-15,1.125,1.12
2014-04-16,1.122,1.12
2014-04-17,1.121,1.1
2014-04-21,1.11,1.09
2014-04-22,1.106,1.1
2014-04-23,1.102,1.09
2014-04-24,1.091,1.06
2014-04-25,1.068,1.08
2014-04-28,1.038,1.08
2014-04-29,1.053,
2014-04-30,1.059,
2014-05-05,1.069,
2014-05-06,1.072,
2014-05-07,1.053,
2014-05-08,1.052,1.05
2014-05-09,1.042,1.09
2014-05-12,1.068,
2014-05-13,1.066,1.08
2014-05-14,1.068,
2014-05-15,1.048,1.035
2014-05-16,1.044,1.02
2014-05-19,1.038,
2014-05-20,1.041,
2014-05-21,1.051,1.05
2014-05-22,1.05,
2014-05-23,1.06,1.06
2014-05-26,1.069,1.06
2014-05-27,1.07,1.06
2014-05-28,1.082,
2014-05-29,1.07,
2014-05-30,1.072,
2014-06-03,1.072,
2014-06-04,1.062,
2014-06-05,1.073,
2014-06-06,1.069,
2014-06-09,1.062,1.07
2014-06-10,1.074,
2014-06-11,1.08,
2014-06-12,1.08,1.15
2014-06-13,1.091,
2014-06-16,1.097,
2014-06-17,1.087,
2014-06-18,1.082,1.07
2014-06-19,1.057,1.07
2014-06-20,1.066,
2014-06-23,1.075,
2014-06-24,1.083,1.07
2014-06-25,1.077,1.07
2014-06-26,1.09,1.08
2014-06-27,1.095,
2014-06-30,1.106,1.1
2014-07-01,1.111,1.1
2014-07-02,1.12,
2014-07-03,1.132,1.12
2014-07-04,1.13,1.12
2014-07-07,1.134,1.15
2014-07-08,1.14,
2014-07-09,1.124,1.12
2014-07-10,1.126,1.12
2014-07-11,1.137,1.14
2014-07-14,1.154,1.15
2014-07-15,1.153,1.14
2014-07-16,1.146,
2014-07-17,1.139,
2014-07-18,1.143,1.16
2014-07-21,1.138,
2014-07-22,1.151,1.14
2014-07-23,1.143,1.13
2014-07-24,1.147,
2014-07-25,1.156,1.19
2014-07-28,1.177,1.19
2014-07-29,1.187,1.17
2014-07-30,1.188,
2014-07-31,1.198,1.27
2014-08-01,1.184,1.25
2014-08-04,1.205,1.24
2014-08-05,1.212,1.25
2014-08-06,1.222,1.26
2014-08-07,1.212,
2014-08-08,1.217,1.23
2014-08-11,1.235,1.22
2014-08-12,1.238,1.23
2014-08-13,1.238,1.23
2014-08-14,1.232,1.23
2014-08-15,1.245,1.25
2014-08-18,1.263,1.25
2014-08-19,1.264,
2014-08-20,1.266,1.24
2014-08-21,1.263,1.26
2014-08-22,1.269,1.24
2014-08-25,1.263,1.24
2014-08-26,1.244,
2014-08-27,1.246,
2014-08-28,1.234,1.25
2014-08-29,1.248,1.3
2014-09-01,1.265,1.26
2014-09-02,1.281,1.32
2014-09-03,1.292,1.29
2014-09-04,1.3,1.29
2014-09-05,1.305,1.28
2014-09-09,1.312,1.37
2014-09-10,1.314,1.37
2014-09-11,1.313,1.36
2014-09-12,1.325,1.38
2014-09-15,1.337,1.33
2014-09-16,1.298,
2014-09-17,1.307,1.3
2014-09-18,1.314,1.31
2014-09-19,1.324,1.39
2014-09-22,1.308,
2014-09-23,1.323,
2014-09-24,1.337,1.41
2014-09-25,1.336,1.4
2014-09-26,1.34,
2014-09-29,1.351,
2014-09-30,1.361,
2014-10-08,1.38,
2014-10-09,1.381,
2014-10-10,1.375,
2014-10-13,1.374,1.53
2014-10-14,1.371,1.38
2014-10-15,1.377,1.38
2014-10-16,1.354,
2014-10-17,1.345,
2014-10-20,1.363,
2014-10-21,1.351,
2014-10-22,1.335,1.31
2014-10-23,1.315,
2014-10-24,1.321,
2014-10-27,1.33,1.37
2014-10-28,1.361,1.37
2014-10-29,1.378,1.44
2014-10-30,1.381,
2014-10-31,1.381,
2014-11-03,1.394,1.4
2014-11-04,1.387,1.41
2014-11-05,1.383,1.37
2014-11-06,1.393,
2014-11-07,1.381,1.51
2014-11-10,1.399,1.62
2014-11-11,1.365,1.64
2014-11-12,1.383,1.48
2014-11-13,1.368,1.38
2014-11-14,1.364,1.39
2014-11-17,1.377,1.4
2014-11-18,1.378,
2014-11-19,1.381,1.41
2014-11-20,1.375,1.4
2014-11-21,1.389,1.46
2014-11-24,1.411,1.42
2014-11-25,1.428,1.43
2014-11-26,1.433,1.45
2014-11-27,1.442,
2014-11-28,1.445,1.43
2014-12-01,1.437,1.45
2014-12-02,1.452,1.46
2014-12-03,1.467,1.6
2014-12-04,1.495,1.69
2014-12-05,1.457,1.63
2014-12-08,1.473,1.48
2014-12-09,1.425,1.44
2014-12-10,1.475,1.48
2014-12-11,1.491,1.48
2014-12-12,1.501,1.5
2014-12-15,1.523,1.49
2014-12-16,1.524,1.49
2014-12-17,1.511,1.6
2014-12-18,1.513,1.59
2014-12-19,1.506,1.59
2014-12-22,1.456,1.47
2014-12-23,1.436,1.55
2014-12-24,1.455,1.51
2014-12-25,1.482,1.49
2014-12-26,1.493,1.52
2014-12-29,1.485,1.49
2014-12-30,1.467,1.47
2014-12-31,1.48,1.49
2015-01-05,1.508,1.52
2015-01-06,1.528,1.51
2015-01-07,1.53,1.5
2015-01-08,1.523,1.53
2015-01-09,1.52,1.51
2015-01-12,1.507,1.57
2015-01-13,1.527,1.5
2015-01-14,1.525,1.59
2015-01-15,1.542,1.6
2015-01-16,1.56,1.52
2015-01-19,1.502,1.52
2015-01-20,1.557,1.6
2015-01-21,1.594,1.6
2015-01-22,1.615,1.6
2015-01-23,1.597,1.61
2015-01-26,1.629,1.61
2015-01-27,1.634,1.61
2015-01-28,1.621,1.59
2015-01-29,1.608,
2015-01-30,1.592,1.56
2015-02-02,1.588,1.58
2015-02-03,1.612,1.59
2015-02-04,1.606,1.6
2015-02-05,1.597,1.59
2015-02-06,1.566,
2015-02-09,1.559,1.6
2015-02-10,1.579,1.57
2015-02-11,1.592,1.6
2015-02-12,1.605,1.62
2015-02-13,1.63,1.68
2015-02-16,1.656,1.79
2015-02-17,1.667,1.73
2015-02-25,1.664,1.72
2015-02-26,1.682,1.7
2015-02-27,1.697,1.77
2015-03-02,1.731,1.73
2015-03-03,1.722,1.77
2015-03-04,1.744,1.72
2015-03-05,1.744,1.72
2015-03-06,1.727,1.75
2015-03-09,1.747,1.74
2015-03-10,1.764,1.76
2015-03-11,1.76,1.76
2015-03-12,1.76,1.77
2015-03-13,1.781,1.89
2015-03-16,1.831,1.89
2015-03-17,1.857,1.87
2015-03-18,1.888,1.94
2015-03-19,1.899,2.13
2015-03-20,1.922,2.1
2015-03-23,1.968,2
2015-03-24,1.973,1.99
2015-03-25,1.995,1.99
2015-03-26,1.984,1.98
2015-03-27,2.009,2.01
2015-03-30,2.037,2.03
2015-03-31,2.039,2.1
2015-04-01,2.089,2.2
2015-04-02,2.126,2.29
2015-04-03,2.157,2.2
2015-04-07,2.203,2.16
2015-04-08,2.19,2.15
2015-04-09,2.169,2.19
2015-04-10,2.221,2.24
2015-04-13,2.261,2.24
2015-04-14,2.259,2.17
2015-04-15,2.182,2.19
2015-04-16,2.213,2.22
2015-04-17,2.237,2.18
2015-04-20,2.194,2.24
2015-04-21,2.27,2.33
2015-04-22,2.327,2.32
2015-04-23,2.346,2.36
2015-04-24,2.352,2.36
2015-04-27,2.38,2.3
2015-04-28,2.321,2.35
2015-04-29,2.362,2.39
2015-04-30,2.376,2.44
2015-05-04,2.393,2.41
2015-05-05,2.313,2.38
2015-05-06,2.287,2.3
2015-05-07,2.245,2.32
2015-05-08,2.325,2.39
2015-05-11,2.415,2.46
2015-05-12,2.465,2.44
2015-05-13,2.474,2.44
2015-05-14,2.466,2.43
2015-05-15,2.447,2.45
2015-05-18,2.494,2.55
2015-05-19,2.557,2.68
2015-05-20,2.598,2.75
2015-05-21,2.684,2.9
2015-05-22,2.727,2.86
2015-05-25,2.789,2.89
2015-05-26,2.84,2.86
2015-05-27,2.867,2.7
2015-05-28,2.692,2.66
2015-05-29,2.722,2.9
2015-06-01,2.861,2.92
2015-06-02,2.977,2.96
2015-06-03,2.994,2.96
2015-06-04,2.99,3.03
2015-06-05,3.039,3.02
2015-06-08,3.013,3.01
2015-06-09,3.01,3.11
2015-06-10,3.064,3.08
2015-06-11,3.095,3.12
2015-06-12,3.134,3.12
2015-06-15,3.08,3.1
2015-06-16,2.969,3.09
2015-06-17,3.026,3.09
2015-06-18,2.929,2.9
2015-06-19,2.744,2.9
2015-06-23,2.778,2.98
2015-06-24,2.836,2.88
2015-06-25,2.732,2.74
2015-06-26,2.515,2.6
2015-06-29,2.261,2.78
2015-06-30,2.359,2.6
2015-07-01,2.255,2.4
2015-07-02,2.135,2.16
2015-07-03,2.031,2.23
2015-07-06,2.012,2.01
2015-07-07,1.893,1.81
2015-07-08,1.85,1.94
2015-07-09,1.892,2.14
2015-07-10,1.976,2.3
2015-07-13,2.065,2.16
2015-07-14,2.093,1.98
2015-07-15,2.001,1.99
2015-07-16,2.043,2.15
2015-07-17,2.148,2.17
2015-07-20,2.186,2.16
2015-07-21,2.215,2.22
2015-07-22,2.24,2.26
2015-07-23,2.296,2.2
2015-07-24,2.264,2
2015-07-27,2.105,2.07
2015-07-28,2.071,2.13
2015-07-29,2.16,2.13
2015-07-30,2.108,2.09
2015-07-31,2.094,2.05
2015-08-03,2.049,2.13
2015-08-04,2.141,2.1
2015-08-05,2.121,2.08
2015-08-06,2.11,2.15
2015-08-07,2.161,2.24
2015-08-10,2.249,2.24
2015-08-11,2.257,2.22
2015-08-12,2.231,2.25
2015-08-13,2.28,2.28
2015-08-14,2.301,2.32
2015-08-17,2.339,2.22
2015-08-18,2.177,2.23
2015-08-19,2.217,2.16
2015-08-20,2.147,2.08
2015-08-21,2.044,1.87
2015-08-24,1.899,1.69
2015-08-25,1.773,1.72
2015-08-26,1.718,1.8
2015-08-27,1.777,1.9
2015-08-28,1.87,1.89
2015-08-31,1.814,1.74
2015-09-01,1.719,1.72
2015-09-02,1.706,1.7
2015-09-07,1.715,1.77
2015-09-08,1.776,1.82
2015-09-09,1.821,1.79
2015-09-10,1.802,1.82
2015-09-11,1.812,1.73
2015-09-14,1.693,1.66
2015-09-15,1.584,1.75
2015-09-16,1.683,1.67
2015-09-17,1.658,1.75
2015-09-18,1.677,1.75
2015-09-21,1.734,1.79
2015-09-22,1.747,1.77
2015-09-23,1.724,1.73
2015-09-24,1.748,1.73
2015-09-25,1.692,1.72
2015-09-28,1.72,1.69
2015-09-29,1.694,1.71
2015-09-30,1.702,1.79
2015-10-08,1.77,1.8
2015-10-09,1.799,1.86
2015-10-12,1.87,1.89
2015-10-13,1.89,1.9
2015-10-14,1.868,1.92
2015-10-15,1.925,1.94
2015-10-16,1.954,1.96
2015-10-19,1.954,1.97
2015-10-20,1.989,1.93
2015-10-21,1.871,1.93
2015-10-22,1.944,1.96
2015-10-23,1.991,1.97
