datetime,nav
2022-08-29,1.8417
2022-08-30,1.8398
2022-08-31,1.8296
2022-09-01,1.8209
2022-09-02,1.8179
2022-09-05,1.8014
2022-09-06,1.8126
2022-09-07,1.7948
2022-09-08,1.7672
2022-09-09,1.7658
2022-09-13,1.7855
2022-09-14,1.7639
2022-09-15,1.7374
2022-09-16,1.7032
2022-09-19,1.7088
2022-09-20,1.7271
2022-09-21,1.7143
2022-09-22,1.7009
2022-09-23,1.6761
2022-09-26,1.6438
2022-09-27,1.6984
2022-09-28,1.6739
2022-09-29,1.6774
2022-09-30,1.6732
2022-10-10,1.6746
2022-10-11,1.6797
2022-10-12,1.7043
2022-10-13,1.7312
2022-10-14,1.7479
2022-10-17,1.7496
2022-10-18,1.7443
2022-10-19,1.7057
2022-10-20,1.6985
2022-10-21,1.6954
2022-10-24,1.6482
2022-10-25,1.6376
2022-10-26,1.6491
2022-10-27,1.6582
2022-10-28,1.5925
2022-10-31,1.5944
2022-11-01,1.6507
2022-11-02,1.6837
2022-11-03,1.6843
2022-11-04,1.7051
2022-11-07,1.7178
2022-11-08,1.7201
2022-11-09,1.7005
2022-11-10,1.7152
2022-11-11,1.7293
2022-11-14,1.7424
2022-11-15,1.7495
2022-11-16,1.7476
2022-11-17,1.7615
2022-11-18,1.7503
2022-11-21,1.745
2022-11-22,1.7262
2022-11-23,1.7104
2022-11-24,1.7139
2022-11-25,1.7124
2022-11-28,1.7121
2022-11-29,1.7352
2022-11-30,1.7355
2022-12-01,1.7728
2022-12-02,1.7895
2022-12-05,1.8043
2022-12-06,1.8164
2022-12-07,1.8533
2022-12-08,1.816
2022-12-09,1.8348
2022-12-12,1.8134
2022-12-13,1.8343
2022-12-14,1.8534
2022-12-15,1.824
2022-12-16,1.8266
2022-12-19,1.8026
2022-12-20,1.7592
