datetime,close,acc_close,div
2014-09-23,941.3,,0.0583
2014-09-24,952.15,,0.0577
2014-09-25,952.48,,0.0577
2014-09-26,953.1,,0.0578
2014-09-29,958.29,,0.0578
2014-09-30,961.21,,0.0578
2014-10-08,965.92,,0.0577
2014-10-09,966.21,,0.0576
2014-10-10,957.91,,0.058
2014-10-13,952.03,,0.0584
2014-10-14,951.59,,0.0584
2014-10-15,956,,0.0582
2014-10-16,952.12,,0.0581
2014-10-17,948.27,,0.0584
2014-10-20,954.01,,0.0582
2014-10-21,945.56,,0.0585
2014-10-22,940.45,,0.0585
2014-10-23,931.55,,0.0588
2014-10-24,931.23,,0.0589
2014-10-27,925.87,,0.0596
2014-10-28,944.41,,0.0588
2014-10-29,964.64,,0.0581
2014-10-30,975.53,,0.0575
2014-10-31,994.56,,0.0563
2014-11-03,1000.57,,0.0565
2014-11-04,1002.18,,0.0564
2014-11-05,999.55,,0.0568
2014-11-06,1001.91,,0.0568
2014-11-07,998.76,,0.0569
2014-11-10,1025.89,,0.0555
2014-11-11,1022.62,,0.054
2014-11-12,1035.93,,0.0542
2014-11-13,1033.28,,0.0542
2014-11-14,1028.3,,0.0542
2014-11-17,1026.34,,0.0549
2014-11-18,1018.66,,0.0557
2014-11-19,1012.95,,0.056
2014-11-20,1013.88,,0.056
2014-11-21,1029.57,,0.0553
2014-11-24,1049.26,,0.0548
2014-11-25,1066.12,,0.0542
2014-11-26,1076.13,,0.0533
2014-11-27,1079.77,,0.0528
2014-11-28,1113.49,,0.0503
2014-12-01,1115.92,,0.0501
2014-12-02,1152.59,,0.0479
2014-12-03,1156.62,,0.0484
2014-12-04,1203.2,,0.0458
2014-12-05,1212.12,,0.0434
2014-12-08,1252.87,,0.0424
2014-12-09,1201.64,,0.0459
2014-12-10,1258.71,,0.0449
2014-12-11,1271.25,,0.0457
2014-12-12,1272.37,,0.0457
2014-12-15,1272.42,,0.0471
2014-12-16,1303.33,,0.0455
2014-12-17,1331.31,,0.0438
2014-12-18,1332.57,,0.0443
2014-12-19,1383.28,,0.0428
2014-12-22,1419.87,,0.0407
2014-12-23,1366.26,,0.0427
2014-12-24,1328.86,,0.0445
2014-12-25,1373.81,,0.0427
2014-12-26,1405.68,,0.0414
2014-12-29,1405.48,,0.0411
2014-12-30,1393.83,,0.0404
2014-12-31,1425.52,,0.0391
2015-01-05,1482.28,,0.0372
2015-01-06,1479.81,,0.0373
2015-01-07,1481.12,,0.0372
2015-01-08,1437.94,,0.0386
2015-01-09,1428.23,,0.0385
2015-01-12,1394.64,,0.0393
2015-01-13,1396.98,,0.0393
2015-01-14,1394.34,,0.0391
2015-01-15,1439.45,,0.0374
2015-01-16,1447.61,,0.0368
2015-01-19,1319.71,,0.0408
2015-01-20,1343.64,,0.0404
2015-01-21,1400.24,,0.0382
2015-01-22,1405.63,,0.0385
2015-01-23,1404.35,,0.0382
2015-01-26,1415.79,,0.0383
2015-01-27,1403.25,,0.0392
2015-01-28,1389.32,,0.0398
2015-01-29,1375.94,,0.0406
2015-01-30,1359.74,,0.0411
2015-02-02,1318.68,,0.0427
2015-02-03,1347.65,,0.0415
2015-02-04,1338.94,,0.0422
2015-02-05,1320.23,,0.0427
2015-02-06,1285.04,,0.0437
2015-02-09,1285.51,,0.0435
2015-02-10,1312.28,,0.0427
2015-02-11,1314.59,,0.0428
2015-02-12,1317.34,,0.0428
